,Price,Brand,Model,Edition,Year,Condition,Transmission,Body,Fuel,Capacity,Mileage
36732,15500000,Toyota,CHR,Chr Gt Turbo,2019,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",14000
36733,7700000,Honda,Fit,1.5,2016,Used,Automatic,Hatchback,Hybrid,"1,500 cc",69800
36734,5185000,Kia,Picanto,Kia,2017,Used,Manual,Hatchback,Petrol,"1,000 cc",73000
36735,56000000,Mercedes Benz,GLE 400,Fully Spec,2017,Used,Automatic,SUV / 4x4,Petrol,"3,000 cc",58000
36736,18500000,Mercedes Benz,C350,C350e,2016,Used,Automatic,Saloon,Petrol,"2,000 cc",147000
36737,5600000,Honda,S660,Sports,2017,Used,Automatic,Convertible,Petrol,650 cc,25000
36738,6450000,Toyota,Aqua,Toyota,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc",98000
36739,9400000,Honda,Vezel,Ivory Pack 2016,2015,Used,Tiptronic,Hatchback,Hybrid,"1,500 cc",39000
36740,31500000,BMW,X5 eDrive,2016,2016,Used,Automatic,SUV / 4x4,Petrol,"2,000 cc",46700
36741,2275000,Hyundai,Accent,GLX saloon,2000,Used,Manual,Saloon,Petrol,"1,500 cc",195000
36742,17900000,Toyota,Hilux,Revo,2016,Used,Tiptronic,SUV / 4x4,Diesel,"2,800 cc",78000
36743,5600000,Suzuki,Wagon R Stingray,Suzuki,2017,Used,Automatic,Hatchback,Hybrid,650 cc,77500
36744,35500000,Mercedes Benz,GLB,( PREMIUM PLUS ),2020,Used,Automatic,Station wagon,Petrol,"1,332 cc",4700
36745,15000000,Toyota,Raize,. B/Top,2019,Reconditioned,Automatic,SUV / 4x4,Petrol,"1,000 cc",1264
36746,12800000,Audi,A3,SPORTBACK,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc",63000
36747,14400000,Honda,Civic,Sedan Europe Spec,2020,Used,Automatic,Saloon,Petrol,"1,000 cc",21000
36748,8800000,BMW,530i,E60,2006,Used,Tiptronic,Saloon,Petrol,"3,000 cc",158500
36749,6490000,Toyota,Axio,X Grade,2007,Used,Automatic,Saloon,Petrol,"1,500 cc",128000
36750,4450000,Suzuki,Wagon R Stingray,Stingray,2014,Used,Automatic,Hatchback,Petrol,650 cc,150000
36751,4250000,Honda,Civic,EK3,1998,Used,Automatic,Saloon,Petrol,"1,490 cc",184300
36752,19500000,BMW,520d,MSPORT,2012,Used,Automatic,Saloon,Diesel,"2,000 cc",106000
36753,3800000,Toyota,Carina,Ti Myroad 212,1997,Used,Automatic,Saloon,Petrol,"1,500 cc",87000
36754,10700000,DFSK,Glory,580 Luxury,2021,New,Tiptronic,SUV / 4x4,Petrol,"1,498 cc",0
36755,10700000,DFSK,Glory,580,2021,New,Tiptronic,SUV / 4x4,Petrol,"1,498 cc",0
36756,15500000,Mitsubishi,Montero,V78 3.2DID,2004,Used,Automatic,SUV / 4x4,Diesel,"3,200 cc",207000
36757,6200000,Toyota,Aqua,Aqua S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc",77000
36758,6900000,Toyota,Vitz,F grade,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc",75000
36759,12850000,Toyota,Raize,2020,2020,Used,Automatic,Hatchback,Petrol,"1,000 cc",12900
36760,16250000,Toyota,CHR,2020,2020,Used,Automatic,Hatchback,Petrol,"1,200 cc",11600
36761,34500000,Mercedes Benz,C200,AMG P. Plus Night E,2019,Used,Automatic,Saloon,Petrol,"1,500 cc",10000
36762,875000,Toyota,Corolla,TRD Sport,1987,Used,Manual,Saloon,Petrol,"1,500 cc",285600
36763,6900000,Toyota,Prius,Toyota,2012,Used,Automatic,Saloon,Petrol,"1,800 cc",157000
36764,750000,Mitsubishi,Lancer,Lancer Flatlight,1978,Used,Manual,Saloon,Petrol,"1,400 cc",136136
36765,3950000,Suzuki,Alto,Japan Alto 2010,2010,Used,Automatic,Hatchback,Petrol,600 cc,120000
36766,10000000,Honda,Civic,SR Turbo,2017,Used,Tiptronic,Hatchback,Petrol,"1,000 cc",38000
36767,5490000,Suzuki,Spacia,Custom Z Turbo 2018,2016,Used,Automatic,Hatchback,Hybrid,650 cc,47000
36768,5890000,Honda,N-Box,Custom 2018/,2015,Used,Automatic,Hatchback,Petrol,650 cc,66000
36769,14500000,Audi,Q2,Turbo,2018,Used,Automatic,SUV / 4x4,Petrol,999 cc,44000
36770,650000,Volkswagen,Beetle,1200,1965,Used,Manual,Hatchback,Petrol,"1,200 cc",123456
36771,3785000,Toyota,Starlet,EP91,1998,Used,Automatic,Hatchback,Petrol,"1,330 cc",144000
36772,8185000,Toyota,Corolla,ZRE141R,2013,Used,Automatic,Saloon,Petrol,"1,598 cc",108000
36773,3695000,Nissan,March,K12,2002,Used,Automatic,Hatchback,Petrol,"1,240 cc",140000
36774,7750000,Mitsubishi,Pajero,pajero,1992,Used,Manual,SUV / 4x4,Diesel,"2,500 cc",264000
36775,4455000,Toyota,Starlet,GLANZA,1998,Used,Automatic,Hatchback,Petrol,"1,330 cc",106000
36776,5600000,Daihatsu,Move,Custom Turbo,2016,Used,Automatic,Hatchback,Petrol,660 cc,64000
36777,600000,Nissan,Sunny,B11,1982,Used,Manual,Saloon,Petrol,"1,300 cc",131900
36778,35000000,Toyota,Land Cruiser Prado,TRJ150 Highest Grade,2017,Used,Tiptronic,SUV / 4x4,Petrol,"2,000 cc",120000
36779,37500000,BMW,640i,M SPORT CONVERTIBLE,2011,Used,Automatic,Convertible,Petrol,"3,000 cc",22000
36780,25365000,Toyota,Hilux,Toyota,2020,Used,Automatic,SUV / 4x4,Diesel,"2,800 cc",1400
36781,4975000,Micro,Kyron,2007,2007,Used,Tiptronic,SUV / 4x4,Diesel,"1,996 cc",100955
36782,31000000,Toyota,Hilux,Rocco Unregistered,2020,New,Automatic,SUV / 4x4,Diesel,"2,800 cc",600
36783,2875000,Nissan,Sunny,N16 GD,2000,Used,Manual,Saloon,Petrol,"1,300 cc",180000
36784,2375000,Toyota,Carina,170,1991,Used,Manual,Saloon,Petrol,"1,490 cc",180000
36785,45000000,Toyota,Land Cruiser Prado,-,2017,Used,Automatic,SUV / 4x4,Petrol,"2,700 cc",70000
36786,4500000,Suzuki,Wagon R FZ,Suzuki,2014,Used,Automatic,Hatchback,Hybrid,650 cc,78200
36787,14100000,Toyota,Rush,S Grade,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",65500
36788,995000,Mitsubishi,Lancer,Box Car,1981,Used,Manual,Saloon,Petrol,"1,400 cc",105000
36789,6675000,Toyota,Aqua,Aqua,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc",104000
36790,2300000,Mitsubishi,Other Model,4DR5,1976,Used,Manual,SUV / 4x4,Diesel,"1,825 cc",20000
36791,2975000,Kia,Carens,7 Seats Diesel Auto,2001,Used,Automatic,MPV,Diesel,"2,000 cc",234000
36792,3670000,Suzuki,Swift,Swift Kei 2007,2007,Used,Automatic,Hatchback,Petrol,660 cc,117000
36793,14800000,Mitsubishi,Xpander,GLS,2018,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",16500
36794,9600000,Honda,Grace,Ex,2016,Used,Tiptronic,Saloon,Hybrid,"1,500 cc",44000
36795,12600000,Toyota,CHR,GT turbo,2017,Used,Automatic,SUV / 4x4,Petrol,"1,190 cc",43000
36796,2690000,Suzuki,Alto,K10 - BLACK,2011,Used,Manual,Hatchback,Petrol,998 cc,65702
36797,15500000,Toyota,CHR,eagle eye view,2020,Used,Automatic,SUV / 4x4,Petrol,"1,200 cc",14000
36798,15350000,Mitsubishi,Montero,V6,2007,Used,Tiptronic,SUV / 4x4,Petrol,"3,800 cc",150000
36799,1550000,Mitsubishi,4DR,4x4,1966,Used,Manual,SUV / 4x4,Diesel,"4,000 cc",100000
36800,22800000,Toyota,Hilux,ROCCO,2017,Used,Tiptronic,SUV / 4x4,Diesel,"2,800 cc",54000
36801,18500000,Toyota,Premio,F-EX (G-superior),2020,Used,Automatic,Saloon,Petrol,"1,500 cc",25000
36802,6800000,Daihatsu,Terios,2011,2011,Used,Automatic,SUV / 4x4,Petrol,"1,500 cc",92750
36803,2475000,Toyota,Corolla,"CE106 Automatic """"GL""""",1995,Used,Automatic,Station wagon,Diesel,"2,000 cc",230000
36804,870000,Mitsubishi,Lancer,L light,1977,Used,Manual,Saloon,Petrol,"1,400 cc",450000
36805,3850000,Suzuki,Vitara,SUV 4X4,1998,Used,Manual,SUV / 4x4,Petrol,"1,590 cc",170223
36806,5700000,Suzuki,Spacia,Turbo custom,2016,Used,Tiptronic,Hatchback,Petrol,650 cc,45000
36807,4650000,Suzuki,Wagon R,2014,2014,Used,Automatic,Hatchback,Petrol,650 cc,82000
36808,6975000,Toyota,Aqua,GS,2013,Used,Automatic,Station wagon,Hybrid,"1,490 cc",74000
36809,7675000,Toyota,Allion,260,2007,Used,Automatic,Station wagon,Petrol,"1,490 cc",140000
36810,22800000,Toyota,Land Cruiser Prado,Prado 150,2010,Used,Tiptronic,SUV / 4x4,Petrol,"2,700 cc",98000
36811,8000000,Honda,Grace,Honda,2014,Used,Automatic,Saloon,Petrol,"1,500 cc",102500
